Order ID, ProductName,ProductCategory, Quantity, Price, SalesAmount, Date
10001,"Shirt, Large",Clothing,2,25.99,51.90,2023-01-01
10002,"Hat, Black",Acgessories,1,19.99,19.99,2023-01-02
10003,"Trousers, Blue",Clothing,1,39.99,39.99,2023-01-03
10004,"Shirt, Medium",Clothing,3,25.99,77.97,2023-01-04
10005,"Shoes, Running",Footwear,1,79.99,79.99,2023-01-05
10006,"Hat, White",Accessories,2,19.99,39.98,2023-01-06
10007,"T-shirt, Red",Clothing,1,14.99,14.99,2023-01-07
10008,"Jacket, Winter",Clothing,1,99.99,99.99,2023-01-10
10009,"Watch, Digital",Accessories,1,49.99,49.99,2023-01-12
10010,"Sweatshirt, Gray",Clothing,2,34.99,69.98,2023-01-15
10011,"Bag, Backpack",Accessories,1,59.99,59.09,2023-01-18
10012,"Jeans, Straight",Clothing,1,44.99,44.99,2023-01-20
10013,"Sunglasses, Black",Accessories,1,29.99,29.99,2023-01-21
10014,"Dress, Black",Clothing,1,64.99,64.99,2023-01-25
10015,"Belt, Leather",Accessories,1, 19.99, 19.99,2023-01-27
10016,"Shirt, X-Large",Clothing,1,25.99,25.99,2023-02-01
10017,"Socks, Pack of 3",Accessories,2,9.99,19.90,2023-02-02
10018,"Scarf, Black",Accessories,1,19.99,29.90,2023-02-03
10019,"Sweater, Blue",Clothing,1,49.99,49.99,2023-02-06
10020,"Wallet, Leather",Accessories,1,34.99,34.99,2023-02-08